doc_id,domain
ra_3ce952d0defdc5c5,ra
ra_a91bf943b8c10309,ra
ra_de20c835d99a1348,ra
ra_c995d7c18af0cef7,ra
ra_0a966c333777cc35,ra
ra_c34e05abc6de41cc,ra
ra_37f643ee740b8722,ra
ra_7dfbaefe71662130,ra
ra_f44dc387afb17b7a,ra
ra_24486a5b7ccc8d7d,ra
ra_13229b7a28118637,ra
ra_26ff760bc126b1f9,ra
ra_b262e34917bd5b80,ra
ra_44848b4458e3a90c,ra
ra_b06033028c9ba6d5,ra
ra_167de3e5d46c911d,ra
ra_4667597ee567bfea,ra
ra_e5eb87a7cee6ccda,ra
ra_530ae22c450f7f5c,ra
ra_6ba4d46ce6a0e1c2,ra
ra_01b5cd03a457d896,ra
ra_289006da5a659747,ra
ra_25b7f5c300c23980,ra
ra_64d689ca28879164,ra
ra_e679f08bc504552f,ra
ra_517cd3ff5dc081ec,ra
ra_c31dd0eed1c9b279,ra
ra_9a78de7627c3583f,ra
ra_dac8c9755c6e54f9,ra
ra_2b0ef2ad00109e2d,ra
ra_3657824c416e4c7e,ra
ra_dc0c28cada1ac947,ra
ra_303a7eec36e80418,ra
ra_75fc9a86cc173137,ra
ra_19f39db9178c0337,ra
ra_f3a8ce1524254301,ra
ra_2fe8326d3d9bae85,ra
ra_05a8c0c54b7560e7,ra
ra_776300fc6e7550b5,ra
ra_a7364f924828bd81,ra
ra_60fe2eb3a45d9285,ra
ra_76d57bddc703718d,ra
ra_769f4802d25ac16e,ra
ra_360e877a59bb8e32,ra
ra_b8b3f228909c1a43,ra
ra_997e3af421bd605b,ra
ra_09d817d2a6bcfa06,ra
ra_c08a386ff3ddf076,ra
ra_485e1b45655610be,ra
ra_0e035d6dac840488,ra
ra_a876b11f5eedc9ef,ra
ra_c7687841141c8608,ra
ra_e2e8eb747c60782c,ra
ra_5f8ffb6f6f73d9e6,ra
ra_4177aad5e50fb320,ra
ra_10f290755adfcd53,ra
ra_69cd9edaf799f84b,ra
ra_ab50dc3416d3ff3c,ra
conf_e3847e4ac1cdf2cb,confession
conf_493e571e92f7c5a9,confession
conf_c5f91e73304c21b5,confession
conf_864655f7df873410,confession
conf_549dadb2f0039096,confession
conf_8a850ba741256868,confession
conf_410a5579336831ce,confession
conf_0839621f3f11c4be,confession
conf_1744e4cee306f29d,confession
conf_f835498417b2eda5,confession
conf_5f89dc2122ea28a8,confession
conf_fa45f101d897b84d,confession
conf_fdf4332be7eb9186,confession
conf_362726e80f36d8bc,confession
conf_9cfb90d370208934,confession
conf_b4ac1445fc5c1a36,confession
conf_d645c50456290fb9,confession
conf_f6e6ede64cb282f7,confession
conf_785032b816b7ef5d,confession
conf_5d3ba6599de92b32,confession
conf_6d0c0037029bf276,confession
conf_0feb869147252a19,confession
conf_cad8fd18e72720ec,confession
conf_c173bf3513787fac,confession
conf_87a04b3d76004a22,confession
conf_a30d556b25545dd4,confession
conf_b451d3e820f98507,confession
conf_d09a4d408eac2cd1,confession
conf_de9442cfd1d792cf,confession
conf_b47297133b43c3cb,confession
conf_0b29d43ea694345c,confession
conf_eb3ba42372f1572b,confession
conf_65fca76a6f1b72e5,confession
conf_1436cee060f0f2c6,confession
conf_75c883080ad1fcec,confession
conf_9f652538f14f8b0e,confession
conf_7afb0e36229ac480,confession
conf_82e42a0daeb4484c,confession
conf_a56ef8b03c0c3a73,confession
conf_b7ea7a3b157aa6f3,confession
conf_bb905c506fa512cf,confession
conf_4312615157bd561e,confession
conf_e9f0aeacbe56d420,confession
conf_dc4137b14c91221b,confession
conf_f3faee048c32ebbc,confession
conf_0c61af1bc306c5b2,confession
conf_75b5691d398b27e0,confession
conf_ffa50f670fc00494,confession
conf_110b9d8257ee2f32,confession
conf_e8d9005b48ae549c,confession
conf_26cec03878446cdc,confession
conf_1e298c69468d9d3e,confession
conf_ad1847c20db00014,confession
conf_946999be8a7f08a6,confession
conf_a8534e7fd02cd8fb,confession
conf_1259aabea4924951,confession
conf_2f5ab837d59033e9,confession
conf_a1ee7281b0bd480c,confession
conf_66821fb2a30faaec,confession
conf_69f4e2b3fc8695c7,confession
conf_86a5abdec19b08ec,confession
conf_6805fdb86ec8bfaa,confession
conf_46efa2879cf9ab84,confession
conf_3d9f1e4e8a151fa3,confession
conf_9afd1feb6a66e1c4,confession
conf_663d8e4fb09aabff,confession
conf_67d88b5457eecc1e,confession
conf_8b79a56d28572034,confession
conf_228dfdc226f8b806,confession
conf_47e50d8ac231da49,confession
conf_b7a4ea0b9fa57063,confession
conf_2e242df5dc7368d9,confession
conf_bef12dea1bbd05cd,confession
conf_edd3f6d86681c2df,confession
conf_7ac0adb633b62125,confession
conf_17bfb4c52a47b03a,confession
conf_306dc3e85a218624,confession
conf_42a7005a023c6adf,confession
conf_553871a7d370e642,confession
conf_8fd2b9bff29707bc,confession
conf_13ff6122c7c74347,confession
conf_a5acb18922eefb57,confession
conf_058725406410a501,confession
conf_9e62ad519ff1b11b,confession
conf_6a417eafa535f016,confession
conf_c49ffda2325781e2,confession
conf_a40a503890612079,confession
conf_451d9c184c6be787,confession
conf_3596e767c4b93ffe,confession
conf_d06f0e3ddc974785,confession
aita_49ed8a8f78d188c6,aita
aita_60c2091d3247ce2e,aita
aita_2ec93d2069b663e2,aita
aita_5587b0621682ee27,aita
aita_e5dce132a15aa681,aita
aita_e193588affa9439f,aita
aita_b5a79b14bf2754e4,aita
aita_aca481de2a9254e2,aita
aita_56a4d2b5c5e98f85,aita
aita_1728ed64212efae5,aita
aita_d1d26b4edc935349,aita
aita_db5a4c15f986839f,aita
aita_44f15913dd9b3e4d,aita
aita_1187dfeccb2d90c0,aita
aita_2d27f59e371b95d0,aita
aita_cc82b7ea8ea8363f,aita
aita_e9e6567a9bc268ce,aita
aita_3078f3b88373dc79,aita
aita_986961aee3ebb5bc,aita
aita_7b0d166fb247abec,aita
aita_029781df4542116a,aita
aita_f3e04c39963a75f8,aita
aita_93a05bc5ca786b43,aita
aita_ead5ddfb0e3aa804,aita
aita_97f260056af5e49c,aita
aita_7d9ac81ad876005e,aita
aita_03764ba05a4e94ae,aita
aita_4f6895131b1b3709,aita
aita_701b262dc01e5b48,aita
aita_8e290d9e87e97ca5,aita
aita_27ec2b4b30ae7b22,aita
aita_4956e2b9519fe004,aita
aita_040d977a7cbf7adb,aita
aita_82d25be53bbf5337,aita
aita_29ba8cfdbb56e672,aita
aita_b57f795fdb464048,aita
aita_91eb8ec9b7a3b2da,aita
aita_cbcc92036022fd60,aita
aita_a1af175ac06e569a,aita
aita_08868d7fb76f4bbb,aita
aita_8dcbbd97a871fab7,aita
aita_d0ebc63209363bb9,aita
aita_634ef0d8810fbd0a,aita
aita_b9182a46665d877e,aita
aita_fa4ebf8dac332cdf,aita
aita_da4b4cdf254f997a,aita
aita_028a669915385db7,aita
aita_72be5d8aa8d6203e,aita
aita_dfb140376ccbd00f,aita
aita_e7a8c0f9522f040a,aita
aita_1c2c337c1a8d34d0,aita
aita_2012eb42ec6a9d1a,aita
aita_ce5ad3bbeace55a7,aita
aita_9daa5a71e28a7fbb,aita
aita_52864d321f5ca49d,aita
aita_6cca4252bd647ba5,aita
aita_9bee2d329b2ab5ca,aita
aita_4efc7091656749dd,aita
aita_817110d5cdeca431,aita
aita_bf292b72054fcee9,aita
aita_c0f2bb9be0c8a845,aita
aita_371f3097b1151d40,aita
aita_3523d39353682f37,aita
aita_38241b800304cf8a,aita
aita_d39d72668332032b,aita
aita_518ef7c3b4b5f1d2,aita
aita_a4989038dedfa42b,aita
aita_99b3a2c33bf01782,aita
aita_efe9fa50a15bd2d3,aita
aita_fa92ac14043d63f1,aita
aita_f6d467461d783eb9,aita
aita_edde87e552daffea,aita
aita_0e637c290ab2a500,aita
aita_f5f198c1838eaf4f,aita
aita_e7612839e99db129,aita
aita_1d19e3d6a141ce6d,aita
aita_ce9ffabc13da0b7e,aita
aita_3d0acba7673f522c,aita
aita_ac4d892e334c7064,aita
aita_2458553c761e293b,aita
aita_d6d8a914447f0ced,aita
aita_38a8840e2eb56e26,aita
aita_efa2fca4c730912f,aita
aita_3f2df43d95f64bb7,aita
aita_d0c3ee9d1343617f,aita
aita_13990449f6f46e8f,aita
aita_dddb20ffbb7916dc,aita
aita_cb786e93ce37268f,aita
aita_00ba34b2d4579d9c,aita
aita_7335fd04eb94bb26,aita
aita_f9b9f86006058ab9,aita
aita_55b71eed956e9244,aita
aita_1f2c9f52c30dac4f,aita
aita_27191ac49c9077b6,aita
aita_7037b0b03d6de9eb,aita
aita_19797dba509f9e1e,aita
aita_4b1359e1746a8a56,aita
aita_4285286b01b5cf6e,aita
conf_8895e306c2d89c3c,confession
ra_1a5720142907d61f,ra
ra_9cc168bfcc7ec95c,ra
ra_124af97b4fd521de,ra
ra_473cf120c5fc62c4,ra
ra_3f43bd7542f5942c,ra
ra_78afb691bd1a024f,ra
ra_f6dbce2caa490d6c,ra
ra_ec77c45dc0eb5bed,ra
ra_880718f49f3cf241,ra
ra_fc54d3530bc6f1c9,ra
ra_b0dc3f7d5c6eb6fe,ra
ra_965052b0816848cb,ra
ra_4241fdb93795f0cd,ra
ra_c6e2b00fa683388e,ra
ra_c8001a1301376f37,ra
ra_e64c15d1ce1316f0,ra
ra_5101cb20a50c8c71,ra
ra_4d65d59b2435d77f,ra
ra_8d21929e09a0a2cb,ra
ra_44e30cc848d9f983,ra
ra_11da88945729b2c4,ra
ra_e5997b6d2a1dc82c,ra
ra_aad280d789d6b2c7,ra
ra_aa494e38368978bb,ra
ra_7bed1fde8703f993,ra
ra_8d1162525813af64,ra
ra_33c6f4fa7d3da1cc,ra
ra_f3339f5adbb6a79b,ra
ra_40932c501d1a1e7d,ra
ra_8124a86a48451882,ra
ra_8cf6c318b23ca96f,ra
ra_1a8d05ab9357502b,ra
ra_005472dafb4ff23c,ra
ra_869084ee4ea9a523,ra
ra_297921ed51ff5ae5,ra
ra_508225221ccb7723,ra
ra_f09d6fda3da761f2,ra
ra_49bb2af845a054d3,ra
aita_3ea787f4252e5333,aita
aita_db8852cd6ec84836,aita
conf_fc93ce257529d2e9,confession
conf_70f95b583c3d618c,confession
conf_7c2a96bf9a596cdc,confession
conf_a98980e4543a9823,confession
conf_a328f674d6fe1e7c,confession
conf_11003af62a8c5711,confession
conf_974fbac4c73088bd,confession
ra_7dd7c620ffea00c4,ra
ra_717bcf493615aeaa,ra
ra_1fe86d08621ef919,ra
ra_5dc26feaf658f9d2,ra
conf_2eed3e9a7cb24773,confession
conf_c08f98b36bcc037d,confession
