doc_id,domain,silver_label
ra_243fe399a23b92c3,ra,ADVICE
conf_5bb7f1de063f9f59,confession,STORY
ra_72030e25682a3e5a,ra,ADVICE
ra_18a627761acd974d,ra,ADVICE
ra_02318b3255667a1e,ra,ADVICE
ra_fe2db46b3253ee7b,ra,ADVICE
ra_87e9cb10657c2d32,ra,ADVICE
conf_6ddd1056fa32e8b8,confession,STORY
conf_1faf07bda315394d,confession,STORY
ra_40731a0e6291e621,ra,ADVICE
conf_5cd1a78205dc73d5,confession,STORY
conf_cb78e60abab82122,confession,STORY
ra_f3b41a8e83a27357,ra,ADVICE
conf_cf358d15f098f61b,confession,STORY
conf_0efbb9d66000c686,confession,STORY
ra_2e86090deabdd0ba,ra,ADVICE
ra_ea029bdae624e201,ra,ADVICE
conf_ab49840b670a45ab,confession,STORY
ra_6642e74c67148dc2,ra,ADVICE
ra_8a208a2782ac6bfa,ra,ADVICE
ra_3b9ff947682f217c,ra,ADVICE
conf_815be3fc186a6d44,confession,STORY
ra_c134df2dee69793a,ra,ADVICE
ra_634119a1e83a08f3,ra,ADVICE
ra_78d03ea4603ff291,ra,ADVICE
conf_5b0ea2f73ef71612,confession,STORY
ra_ae23e174ad877d8f,ra,ADVICE
ra_fc310e709824daab,ra,ADVICE
ra_9e8801f540d0cffe,ra,ADVICE
conf_6b655a555b58f622,confession,STORY
conf_1d13746fe2520229,confession,STORY
ra_5d023e6c7cdcfacb,ra,ADVICE
ra_b9c8bd45c937c856,ra,ADVICE
ra_c181b855b447cc31,ra,ADVICE
ra_d16baceddc3458bb,ra,ADVICE
conf_a26ba5d0d95211e7,confession,STORY
ra_095d58a2f7a15016,ra,ADVICE
conf_a3060af1a5a38f66,confession,STORY
conf_df0a9aa1ce7d4e7c,confession,STORY
conf_d66b81bbbf660b76,confession,STORY
conf_67cc072fd68eb4e2,confession,STORY
conf_d5e1f5ff91ca9a76,confession,STORY
conf_eb74ff52368e5a03,confession,STORY
conf_b2977be3f245e86e,confession,STORY
conf_0140055560c2595e,confession,STORY
ra_fc1811aea880fff7,ra,ADVICE
conf_ab30335a934d07c6,confession,STORY
ra_8354cf44bdd3c68e,ra,ADVICE
conf_0ab754c43a83618a,confession,STORY
conf_11a3bf09abf04cec,confession,STORY
conf_97adfa74a28eb855,confession,STORY
ra_d546c4e15815c958,ra,ADVICE
conf_b213d506793fac23,confession,STORY
ra_998ca0181fea828c,ra,ADVICE
ra_ca240a2fac1959ac,ra,ADVICE
ra_f0e8c0a097bf3a20,ra,ADVICE
conf_51273d7e179ee74c,confession,STORY
ra_448d9092a80be43b,ra,ADVICE
ra_69de62dce0bc59c4,ra,ADVICE
ra_db7cab7363de4759,ra,ADVICE
ra_7a22010826ff2518,ra,ADVICE
conf_b94bc2bc5179579d,confession,STORY
ra_f64130fc4e5c6082,ra,ADVICE
conf_e0c45f18105a9c1f,confession,STORY
ra_36a7ee6f0bec915d,ra,ADVICE
ra_87f258b71c446c66,ra,ADVICE
ra_6f200d9cb17fe0cd,ra,ADVICE
ra_2ba84e21cafd2f01,ra,ADVICE
ra_218b5c2e3bb4cc38,ra,ADVICE
ra_afaea641639457ce,ra,ADVICE
conf_a3331fac1d589fb9,confession,STORY
ra_923fdc925169f521,ra,ADVICE
ra_e357c7f41402cd20,ra,ADVICE
ra_3045ba329c4bb9db,ra,ADVICE
ra_16f0ecfe6dff880d,ra,ADVICE
ra_09f142768f26aa44,ra,ADVICE
conf_0926c4f173b36e5b,confession,STORY
conf_f28f01ea10acc1ff,confession,STORY
ra_e348b0e42c547448,ra,ADVICE
conf_35214275545bb129,confession,STORY
conf_477d4dfbf593e787,confession,STORY
ra_b067bcd15e9bd1d7,ra,ADVICE
conf_e60b7d12f70b1d6f,confession,STORY
conf_03643cbe00763aab,confession,STORY
conf_fb0fa642c7c922b0,confession,STORY
ra_d6aa22f628be9be3,ra,ADVICE
conf_9dec1d95e583c547,confession,STORY
ra_f01b362c8abaa53d,ra,ADVICE
ra_709b53be15854580,ra,ADVICE
ra_0f4357917f5ec7d3,ra,ADVICE
conf_ed3469e554ac31f9,confession,STORY
ra_c99a2466420d42cb,ra,ADVICE
ra_590c2e670155aa4c,ra,ADVICE
ra_b211c54ea9d287ce,ra,ADVICE
conf_71645f4c90ef9336,confession,STORY
conf_052d8e97176bd0b4,confession,STORY
ra_77f6c92fc48f695b,ra,ADVICE
conf_e4627e890a95aeed,confession,STORY
conf_52aa4cb49275ec17,confession,STORY
conf_e993e92958732d17,confession,STORY
ra_9088fe5434c7c15f,ra,ADVICE
conf_121889e17d10e858,confession,STORY
conf_a4777e3aaf5866b5,confession,STORY
conf_0325c7ad9100f479,confession,STORY
ra_4dd8d5ceece07d2b,ra,ADVICE
ra_59ea5278c35b019c,ra,ADVICE
ra_2df852d3938e32de,ra,ADVICE
ra_f50a81f5b4908c84,ra,ADVICE
conf_8fa4a1799012875d,confession,STORY
ra_1390520823ffb268,ra,ADVICE
ra_8c49b6399d84cdcf,ra,ADVICE
ra_1be8ec7282f486ac,ra,ADVICE
ra_7b8ede138ba5a65f,ra,ADVICE
ra_68357e078ebe133a,ra,ADVICE
ra_cc483a4a4721147d,ra,ADVICE
ra_26287332e136323a,ra,ADVICE
conf_bb82cbd59afe40ce,confession,STORY
conf_e945cd9dfc794d79,confession,STORY
conf_8cd52526b56e4932,confession,STORY
ra_9f1d98f0c4b77f7c,ra,ADVICE
ra_f2536c4f441bb9d5,ra,ADVICE
conf_816f32ed4d7247c3,confession,STORY
conf_4a0b46d7b55983ae,confession,STORY
conf_218ea8d7a04062e6,confession,STORY
conf_f4354973b5fa7060,confession,STORY
conf_a2e641df15f28a7f,confession,STORY
ra_eaee2ada8a37f7ef,ra,ADVICE
conf_b70b2a36148b02b4,confession,STORY
conf_5b9aaa26e41937c2,confession,STORY
ra_04b2944280a7a223,ra,ADVICE
conf_6b5c6d3b81ff06fe,confession,STORY
ra_816bbc7d80201d8e,ra,ADVICE
ra_96128b9bba326639,ra,ADVICE
ra_678d89ca13235cd9,ra,ADVICE
conf_6c5bf8490b66daab,confession,STORY
conf_264f80be17cbbd06,confession,STORY
conf_16250bc8f2dbce31,confession,STORY
ra_68c527c15fd8f51b,ra,ADVICE
conf_012745e93669e19b,confession,STORY
conf_dffeeccdcbfa34c6,confession,STORY
ra_e9a1b645a46b3417,ra,ADVICE
ra_92fa04c445939312,ra,ADVICE
ra_ad6e6e95167ae66e,ra,ADVICE
conf_1894639a84bcbc86,confession,STORY
conf_88d146fc79888467,confession,STORY
conf_bbd746cea9fdf0a6,confession,STORY
ra_040c85bf110fe219,ra,ADVICE
ra_06f6e89a590f1052,ra,ADVICE
ra_3cad414fa4ee5ce2,ra,ADVICE
conf_f826072709e7f582,confession,STORY
ra_1624d2922555dbd4,ra,ADVICE
ra_27398cd675b14268,ra,ADVICE
conf_e634efd4b4b3420c,confession,STORY
ra_a0d27b0b28098358,ra,ADVICE
conf_8c8090f6c08c2007,confession,STORY
conf_ffc31f8fb58a1bac,confession,STORY
ra_82985cda862db9d0,ra,ADVICE
ra_0f9b6bff51186da9,ra,ADVICE
ra_dbca3d725eff3f2a,ra,ADVICE
ra_790f83ccf114194e,ra,ADVICE
conf_1c832a3a529eb702,confession,STORY
ra_7feafdf0d156ff0f,ra,ADVICE
conf_f2987117007b42e9,confession,STORY
ra_9303ec5d0fb9ce18,ra,ADVICE
ra_bc468af8662f2ff2,ra,ADVICE
ra_401f82215ab239e9,ra,ADVICE
conf_5549fb58d07047a0,confession,STORY
conf_68a2da3dc44c1068,confession,STORY
ra_bd4b82e75fbdd1d1,ra,ADVICE
conf_5f9ae892c52800d1,confession,STORY
conf_14f93c6b3f638256,confession,STORY
conf_cf50ef7bfc6f2433,confession,STORY
ra_b084ad9fb33ddcd9,ra,ADVICE
conf_c4e59fbd6ee65949,confession,STORY
ra_d5c309c10ad8a083,ra,ADVICE
ra_eed734d057d67c5e,ra,ADVICE
ra_93a48e8055d23fe1,ra,ADVICE
conf_e24c4cfe82ced5ff,confession,STORY
conf_4072fba1913a7d03,confession,STORY
