feature,weight,toward
was,2.0643581081750466,STORY
my,1.9811092147213278,STORY
you,1.8474306987154996,STORY
the,1.8390021866244628,STORY
people,1.5961054333305666,STORY
fucking,1.4685700103379302,STORY
life,1.223878538361777,STORY
of,1.2087228035132764,STORY
amp,1.1563605165399533,STORY
wish,0.9803809751026946,STORY
it,0.9753436688222176,STORY
hate,0.970879095918287,STORY
fuck,0.9096234546168047,STORY
myself,0.9033029903685977,STORY
in my,0.7565800911202984,STORY
my mom,0.7515416370413371,STORY
shit,0.74651993871801,STORY
in,0.7367583646459832,STORY
they,0.7337899956424634,STORY
brother,0.7239896443856907,STORY
just,0.7115518932638523,STORY
my life,0.7064673654813162,STORY
never,0.6970670912235164,STORY
one,0.6863480800991363,STORY
world,0.6744850004522032,STORY
my mother,0.651743061786071,STORY
all,0.6514660992121483,STORY
post,0.6229841092377026,STORY
my brother,0.6110872489926227,STORY
have to,0.6044234594646766,STORY
when was,0.579982655229795,STORY
car,0.574950455234678,STORY
amp x200b,0.5674070792882243,STORY
you re,0.5598009366473219,STORY
mom,0.5530687009525886,STORY
lost,0.5517016771139898,STORY
scared,0.5513077399121274,STORY
if you,0.5506286341955324,STORY
could,0.5346160778587478,STORY
no,0.5328893661462631,STORY
sister,0.5288965248307296,STORY
into,0.525443175475274,STORY
had,0.5198597216133779,STORY
cat,0.5175085397988703,STORY
off my,0.5019008706416993,STORY
my dad,0.4970743898002534,STORY
of my,0.4968648984563678,STORY
to,0.4912145529807462,STORY
today,0.4866202671103869,STORY
dog,0.4788258828235722,STORY
he,-3.6426655482651014,ADVICE
she,-2.990065254109369,ADVICE
we,-2.591546120508986,ADVICE
relationship,-2.4934769903372866,ADVICE
her,-2.2237336720769894,ADVICE
him,-1.6921310928618096,ADVICE
together,-1.4138604235536507,ADVICE
advice,-1.3851128468809395,ADVICE
boyfriend,-1.3403874303314967,ADVICE
partner,-1.279636382485774,ADVICE
his,-1.2780358238466245,ADVICE
do,-1.219725823050924,ADVICE
bf,-1.2171983713648744,ADVICE
our,-1.1824084709404308,ADVICE
dating,-1.179536808970213,ADVICE
with,-1.1182528436961827,ADVICE
should,-1.115753206669256,ADVICE
is,-1.1007076421737083,ADVICE
christmas,-1.077087697803289,ADVICE
my boyfriend,-1.0648821473369479,ADVICE
have been,-1.0606336961042564,ADVICE
gf,-0.971166706171123,ADVICE
how do,-0.9595092463229364,ADVICE
also,-0.9538001402800748,ADVICE
said,-0.9510117348979715,ADVICE
months,-0.9357872624476526,ADVICE
ex,-0.9133019030339891,ADVICE
sex,-0.865356586049763,ADVICE
been,-0.8587016536803178,ADVICE
girl,-0.8582735954373714,ADVICE
has,-0.8172953924489511,ADVICE
the relationship,-0.7996870667849503,ADVICE
me,-0.7849338082137192,ADVICE
any advice,-0.7828773153344876,ADVICE
we ve,-0.7640610877119193,ADVICE
we have,-0.7631378978761243,ADVICE
feelings,-0.7627446246987729,ADVICE
men,-0.7416042702748559,ADVICE
and he,-0.7333404698319091,ADVICE
friends,-0.732886366177905,ADVICE
my partner,-0.7275580017684593,ADVICE
what do,-0.7225743510119744,ADVICE
girlfriend,-0.7196990103412495,ADVICE
our relationship,-0.7071935668767056,ADVICE
says,-0.6959383694718164,ADVICE
not,-0.6834721658323001,ADVICE
phone,-0.6793327522840352,ADVICE
situation,-0.6694483850052593,ADVICE
my gf,-0.6678670798788078,ADVICE
or,-0.6674642865775665,ADVICE
